KGDS/BÖLGE;1;2;3;4;5;6;7;8;9;;;;;;;;;;;;;
0,5 kg;23,52;28,24;28,24;33,95;31,76;32,96;32,96;32,96;37,62;;;;;;;;;;;;;
1,0 kg;23,52;28,24;28,24;38,50;31,76;32,96;32,96;32,96;37,62;;;;;;;;;;;;;
1,5 kg;27,06;36,45;36,45;38,50;39,97;41,17;41,17;41,17;49,40;;;;;;;;;;;;;
2,0 kg;32,96;44,68;44,68;43,01;48,20;49,40;49,40;49,40;61,16;;;;;;;;;;;;;
2,5 kg;39,99;52,91;52,91;47,05;56,43;57,63;57,63;57,63;72,91;;;;;;;;;;;;;
3,0 kg;47,05;61,13;61,13;54,10;64,64;65,84;65,84;65,84;84,67;;;;;;;;;;;;;
3,5 kg;54,11;69,34;69,34;61,14;72,86;74,06;74,06;74,06;96,43;;;;;;;;;;;;;
4,0 kg;61,18;77,55;77,55;68,19;81,07;82,27;82,27;82,27;108,19;;;;;;;;;;;;;
4,5 kg;68,24;85,77;85,77;75,24;89,28;90,48;90,48;90,48;119,96;;;;;;;;;;;;;
5,0 kg;75,31;93,98;93,98;82,29;97,50;98,70;98,70;98,70;131,72;;;;;;;;;;;;;
5,5 kg;80,02;101,01;101,01;89,32;104,53;106,91;106,91;106,91;141,13;;;;;;;;;;;;;
6,0 kg;84,74;108,04;108,04;96,35;111,56;115,12;115,12;115,12;150,55;;;;;;;;;;;;;
6,5 kg;89,45;115,07;115,07;103,38;118,59;123,34;123,34;123,34;159,96;;;;;;;;;;;;;
7,0 kg;94,17;122,10;122,10;110,41;125,62;131,55;131,55;131,55;169,37;;;;;;;;;;;;;
7,5 kg;98,88;129,13;129,13;117,44;132,65;139,76;139,76;139,76;178,79;;;;;;;;;;;;;
8,0 kg;103,60;136,16;136,16;124,47;139,68;147,98;147,98;147,98;188,20;;;;;;;;;;;;;
8,5 kg;108,31;143,19;143,19;131,50;146,71;156,19;156,19;156,19;197,61;;;;;;;;;;;;;
9,0 kg;113,03;150,22;150,22;138,53;153,74;164,40;164,40;164,40;207,03;;;;;;;;;;;;;
9,5 kg;117,74;157,25;157,25;145,56;160,77;172,62;172,62;172,62;216,44;;;;;;;;;;;;;
10,0 kg;122,46;164,28;164,28;152,59;167,80;180,83;180,83;180,83;225,85;;;;;;;;;;;;;
10,5 kg;125,36;168,39;168,39;156,71;172,52;185,55;185,55;185,55;229,98;;;;;;;;;;;;;
11,0 kg;128,27;172,50;172,50;160,84;177,23;190,26;190,26;190,26;234,10;;;;;;;;;;;;;
11,5 kg;131,18;176,61;176,61;164,96;181,95;194,98;194,98;194,98;238,22;;;;;;;;;;;;;
12,0 kg;134,08;180,71;180,71;169,08;186,66;199,69;199,69;199,69;242,35;;;;;;;;;;;;;
12,5 kg;136,99;184,82;184,82;173,21;191,38;204,41;204,41;204,41;246,47;;;;;;;;;;;;;
13,0 kg;139,90;188,93;188,93;177,33;196,09;209,12;209,12;209,12;250,59;;;;;;;;;;;;;
13,5 kg;142,81;193,03;193,03;181,46;200,81;213,84;213,84;213,84;254,72;;;;;;;;;;;;;
14,0 kg;145,71;197,14;197,14;185,58;205,52;218,55;218,55;218,55;258,84;;;;;;;;;;;;;
14,5 kg;148,62;201,25;201,25;189,70;210,24;223,27;223,27;223,27;262,96;;;;;;;;;;;;;
15,0 kg;151,53;205,35;205,35;193,83;214,95;227,98;227,98;227,98;267,09;;;;;;;;;;;;;
15,5 kg;154,43;209,46;209,46;197,95;219,67;232,70;232,70;232,70;271,21;;;;;;;;;;;;;
16,0 kg;157,34;213,57;213,57;202,07;224,38;237,41;237,41;237,41;275,33;;;;;;;;;;;;;
16,5 kg;160,25;217,67;217,67;206,20;229,10;242,13;242,13;242,13;279,46;;;;;;;;;;;;;
17,0 kg;163,15;221,78;221,78;210,32;233,81;246,84;246,84;246,84;283,58;;;;;;;;;;;;;
17,5 kg;166,06;225,89;225,89;214,44;238,53;251,56;251,56;251,56;287,71;;;;;;;;;;;;;
18,0 kg;168,97;229,99;229,99;218,57;243,24;256,27;256,27;256,27;291,83;;;;;;;;;;;;;
18,5 kg;171,87;234,10;234,10;222,69;247,96;260,99;260,99;260,99;295,95;;;;;;;;;;;;;
19,0 kg;174,78;238,21;238,21;226,81;252,67;265,70;265,70;265,70;300,08;;;;;;;;;;;;;
19,5 kg;177,69;242,31;242,31;230,94;257,39;270,42;270,42;270,42;304,20;;;;;;;;;;;;;
20,0 kg;180,59;246,42;246,42;235,06;262,10;275,13;275,13;275,13;308,32;;;;;;;;;;;;;
20,5 kg;183,52;248,75;248,73;240,93;266,78;279,81;279,81;279,81;314,19;;;;;;;;;;;;;
21,0 kg;186,44;251,08;251,05;246,79;271,46;284,49;284,49;284,49;320,05;;;;;;;;;;;;;
21,5 kg;189,36;253,42;253,36;252,66;276,15;289,18;289,18;289,18;325,92;;;;;;;;;;;;;
22,0 kg;192,29;255,75;255,68;258,52;280,83;293,86;293,86;293,86;331,78;;;;;;;;;;;;;
22,5 kg;195,21;258,08;258,00;264,38;285,51;298,54;298,54;298,54;337,65;;;;;;;;;;;;;
23,0 kg;198,14;260,41;260,31;270,25;290,19;303,22;303,22;303,22;343,51;;;;;;;;;;;;;
23,5 kg;201,06;262,74;262,63;276,11;294,87;307,90;307,90;307,90;349,37;;;;;;;;;;;;;
24,0 kg;203,98;265,08;264,94;281,98;299,55;312,58;312,58;312,58;355,24;;;;;;;;;;;;;
24,5 kg;206,91;267,41;267,26;287,84;304,23;317,26;317,26;317,26;361,10;;;;;;;;;;;;;
25,0 kg;209,83;269,74;269,57;293,71;308,92;321,95;321,95;321,95;366,97;;;;;;;;;;;;;
25,5 kg;212,75;272,07;271,89;299,57;313,60;326,63;326,63;326,63;372,83;;;;;;;;;;;;;
26,0 kg;215,68;274,41;274,20;305,43;318,28;331,31;331,31;331,31;378,70;;;;;;;;;;;;;
26,5 kg;218,60;276,74;276,52;311,30;322,96;335,99;335,99;335,99;384,56;;;;;;;;;;;;;
27,0 kg;221,53;279,07;278,83;317,16;327,64;340,67;340,67;340,67;390,42;;;;;;;;;;;;;
27,5 kg;224,45;281,40;281,15;323,03;332,32;345,35;345,35;345,35;396,29;;;;;;;;;;;;;
