KGDS/BÖLGE;1;2;3;4;5;6;7;8;9;;;;;;;;;;;;;
0,5 kg;13,89;13,32;14,58;20,64;14,62;26,55;29,24;45,51;55,11;;;;;;;;;;;;;
1,0 kg;14,62;15,78;17,65;25,23;16,08;29,30;31,52;45,51;70,17;;;;;;;;;;;;;
1,5 kg;15,72;18,29;18,64;29,37;17,54;29,96;36,22;58,26;94,47;;;;;;;;;;;;;
2,0 kg;16,81;19,25;19,62;34,47;20,47;30,63;40,90;58,26;94,47;;;;;;;;;;;;;
2,5 kg;17,91;20,21;20,60;38,01;23,39;31,31;45,60;74,75;116,42;;;;;;;;;;;;;
3,0 kg;19,00;23,82;23,12;36,40;26,31;31,98;50,29;93,19;140,54;;;;;;;;;;;;;
3,5 kg;21,18;24,43;23,99;37,24;29,24;32,65;54,97;113,66;166,84;;;;;;;;;;;;;
4,0 kg;22,11;26,77;25,04;38,08;34,35;33,31;59,67;136,20;195,10;;;;;;;;;;;;;
4,5 kg;23,03;27,55;26,08;38,94;35,83;33,98;64,34;160,73;225,64;;;;;;;;;;;;;
5,0 kg;23,98;29,99;27,13;39,78;38,48;34,64;69,04;174,12;244,35;;;;;;;;;;;;;
5,5 kg;24,91;31,13;28,19;40,64;41,70;35,29;73,72;183,74;259,01;;;;;;;;;;;;;
6,0 kg;25,83;32,26;29,23;41,79;44,09;36,13;78,42;193,40;273,85;;;;;;;;;;;;;
6,5 kg;28,60;35,73;30,41;42,97;46,98;36,97;83,09;203,01;288,62;;;;;;;;;;;;;
7,0 kg;30,59;38,21;32,52;44,12;49,44;37,83;87,79;212,64;303,47;;;;;;;;;;;;;
7,5 kg;32,59;39,84;34,64;45,28;52,54;38,67;92,47;222,29;318,29;;;;;;;;;;;;;
8,0 kg;33,60;40,94;36,75;46,44;54,21;39,51;97,17;231,92;333,06;;;;;;;;;;;;;
8,5 kg;34,48;41,48;38,89;47,61;57,05;60,52;101,86;241,60;347,85;;;;;;;;;;;;;
9,0 kg;35,26;43,41;40,99;48,77;59,86;61,79;106,54;251,21;362,75;;;;;;;;;;;;;
9,5 kg;37,10;45,33;43,13;49,92;61,82;63,08;111,24;260,88;377,53;;;;;;;;;;;;;
10 kg;39,01;47,25;45,33;51,10;64,33;64,33;115,92;270,49;392,29;;;;;;;;;;;;;
11 kg;41,07;49,36;47,71;52,25;67,04;65,59;120,63;282,01;410,23;;;;;;;;;;;;;
12 kg;44,69;50,98;51,91;59,60;72,82;77,35;133,11;293,37;428,08;;;;;;;;;;;;;
13 kg;48,31;55,11;56,11;66,94;78,60;89,09;145,58;304,84;445,88;;;;;;;;;;;;;
14 kg;51,93;59,24;60,33;74,30;84,38;100,83;158,06;316,39;463,82;;;;;;;;;;;;;
15 kg;55,56;63,37;64,53;81,64;90,16;112,59;170,54;327,76;481,70;;;;;;;;;;;;;
16 kg;59,18;67,51;68,72;88,98;97,60;124,33;183,01;339,23;499,45;;;;;;;;;;;;;
17 kg;62,80;71,63;72,94;96,34;101,58;136,07;195,49;350,72;517,24;;;;;;;;;;;;;
18 kg;66,42;75,74;77,14;103,68;107,39;147,83;207,96;362,28;535,09;;;;;;;;;;;;;
19 kg;70,05;79,87;81,34;111,03;116,31;159,57;220,44;373,65;552,83;;;;;;;;;;;;;
20 kg;73,66;84,01;85,55;118,39;127,62;171,31;232,90;385,13;570,58;;;;;;;;;;;;;
21 kg;77,28;88,14;89,76;125,73;129,13;183,06;224,80;396,68;588,44;;;;;;;;;;;;;
22 kg;80,90;92,26;93,97;133,09;133,25;194,80;232,20;408,17;606,19;;;;;;;;;;;;;
23 kg;84,53;96,39;98,16;140,43;136,95;206,55;239,64;419,70;623,98;;;;;;;;;;;;;
24 kg;88,15;100,52;102,36;147,77;142,78;218,30;247,09;431,19;641,82;;;;;;;;;;;;;
25 kg;91,77;104,65;106,58;155,13;147,02;230,04;254,50;442,74;659,62;;;;;;;;;;;;;
26 kg;95,39;108,78;110,78;162,47;152,69;241,78;261,92;454,25;677,31;;;;;;;;;;;;;
27 kg;99,02;112,91;114,98;169,82;157,06;253,54;269,33;465,71;695,09;;;;;;;;;;;;;
28 kg;102,64;117,05;119,20;177,18;164,66;265,28;276,77;477,31;712,91;;;;;;;;;;;;;
29 kg;106,26;121,18;123,40;184,52;172,62;277,02;284,16;488,79;730,71;;;;;;;;;;;;;
30 kg;109,88;125,30;127,59;191,86;176,65;288,78;291,62;500,35;748,50;;;;;;;;;;;;;
31 kg;113,51;129,44;131,81;199,50;181,10;300,73;293,76;500,86;753,55;;;;;;;;;;;;;
32 kg;117,28;133,76;136,21;206,14;186,93;310,76;295,95;516,49;777,58;;;;;;;;;;;;;
33 kg;121,05;138,06;140,59;212,80;192,78;320,78;305,33;532,05;801,56;;;;;;;;;;;;;
34 kg;124,82;142,35;144,98;219,44;198,62;330,80;314,71;547,66;825,56;;;;;;;;;;;;;
35 kg;128,60;146,65;149,35;226,10;204,46;340,82;324,05;563,26;849,53;;;;;;;;;;;;;
40 kg;133,75;152,34;155,11;232,74;233,66;350,85;370,57;643,81;968,47;;;;;;;;;;;;;
45 kg;152,61;173,87;177,02;266,00;262,87;400,98;417,08;724,43;1087,44;;;;;;;;;;;;;
50 kg;171,48;195,37;198,93;299,24;292,08;451,10;463,62;804,86;1206,42;;;;;;;;;;;;;
55 kg;190,34;216,90;220,85;332,50;321,29;501,21;510,12;885,42;1325,46;;;;;;;;;;;;;
60 kg;209,20;238,41;242,77;365,74;350,50;551,33;556,68;965,93;1444,45;;;;;;;;;;;;;
65 kg;228,06;259,91;264,68;399,00;379,72;601,46;603,16;1046,46;1563,33;;;;;;;;;;;;;
70 kg;246,92;281,44;286,59;432,24;408,93;651,58;649,70;1126,98;1682,33;;;;;;;;;;;;;
70 kg+;3,78;4,20;4,39;6,27;5,29;9,30;8,97;15,75;23,50;;;;;;;;;;;;;
